sector,buyer_tier,macro_scenario,amount_try,term_days,sme_age_months,sme_prior_invoices,sme_ontime_ratio,buyer_repeat_count,buyer_avg_days_late,true_default_prob,defaulted,days_late
food_beverage,small_business,stable,201929.21,51,7,5,0.917,4,4.4,0.07,0,0
textile,small_business,currency_shock,348146.96,101,122,54,0.776,3,20.9,0.3999,0,20
agriculture,small_business,high_inflation,25670.67,87,19,7,0.581,1,3.4,0.2858,0,0
food_beverage,small_business,high_inflation,36469.17,37,6,3,0.679,1,3.2,0.0968,0,11
food_beverage,small_business,stable,193047.92,18,8,4,0.494,2,1.3,0.0624,0,0
textile,enterprise,high_inflation,85010.09,68,13,7,0.879,1,1.0,0.0335,0,0
agriculture,small_business,stable,22589.08,61,42,18,0.988,4,11.2,0.1883,0,0
textile,mid_market,high_inflation,11125.51,104,7,4,0.922,3,0.7,0.0893,0,0
electronics,small_business,high_inflation,6470.69,34,35,8,0.777,2,6.3,0.1402,0,0
automotive,small_business,currency_shock,19068.76,89,6,2,0.917,1,6.5,0.1924,0,0
food_beverage,mid_market,currency_shock,98287.14,79,15,7,0.858,4,1.3,0.0673,0,0
textile,small_business,currency_shock,66087.62,64,118,46,0.878,1,4.5,0.2199,0,0
logistics,mid_market,high_inflation,39912.35,36,37,23,0.834,0,10.2,0.0985,1,103
automotive,micro,high_inflation,27749.77,103,31,17,0.935,1,1.7,0.2052,0,0
textile,micro,stable,269830.85,70,11,8,0.773,1,1.2,0.1783,0,0
food_beverage,enterprise,currency_shock,233877.95,48,57,22,0.865,2,1.5,0.0249,0,0
services,small_business,currency_shock,101153.93,70,6,2,0.592,2,3.4,0.1537,0,0
retail,mid_market,high_inflation,8076.1,39,101,57,0.808,5,8.7,0.065,0,0
retail,mid_market,currency_shock,50595.57,55,6,4,0.603,6,13.8,0.1119,0,2
logistics,enterprise,high_inflation,182508.37,15,6,6,0.89,4,7.9,0.0342,0,0
logistics,small_business,stable,100229.85,43,26,14,0.881,0,5.3,0.1258,0,0
automotive,micro,stable,71467.49,84,70,42,0.716,3,0.7,0.1434,0,0
construction,mid_market,stable,8513.9,131,76,34,0.987,3,3.3,0.1304,1,22
services,enterprise,stable,256206.27,47,39,20,0.817,3,1.1,0.0139,0,8
logistics,enterprise,currency_shock,52344.04,32,59,37,0.638,6,0.4,0.0434,0,1
agriculture,mid_market,currency_shock,15760.56,79,74,40,0.855,4,0.2,0.1431,0,0
agriculture,small_business,high_inflation,6305.86,71,22,15,0.921,5,4.9,0.241,0,0
textile,small_business,currency_shock,26760.02,76,170,50,0.677,2,17.4,0.3474,1,58
construction,small_business,stable,46554.89,129,12,3,0.646,2,0.2,0.271,0,0
automotive,small_business,currency_shock,152254.97,79,11,2,0.85,4,0.8,0.1598,0,0
textile,micro,high_inflation,42321.99,111,34,17,0.945,3,10.1,0.3562,1,63
retail,micro,high_inflation,689524.25,28,97,50,0.78,3,5.4,0.2536,0,30
food_beverage,small_business,high_inflation,289260.34,69,101,48,0.813,2,3.9,0.1106,1,27
food_beverage,mid_market,high_inflation,16472.84,16,13,6,0.893,0,2.1,0.0377,0,0
electronics,small_business,high_inflation,103566.62,71,60,43,0.829,2,0.5,0.1397,0,0
construction,mid_market,currency_shock,5983.05,127,45,26,0.79,3,4.2,0.2587,1,158
automotive,small_business,high_inflation,56260.44,66,145,52,0.755,4,7.6,0.1484,0,0
food_beverage,small_business,stable,19557.58,102,42,16,0.743,3,2.5,0.0901,0,0
services,enterprise,high_inflation,10105.34,15,60,23,0.662,2,2.0,0.0176,0,0
textile,small_business,stable,24735.63,104,37,24,0.605,5,4.1,0.1614,0,9
construction,small_business,stable,279794.74,113,20,16,0.796,4,7.0,0.2944,1,88
retail,small_business,stable,15098.43,15,21,11,0.972,6,8.5,0.0745,0,0
agriculture,small_business,high_inflation,28061.8,85,24,8,0.824,4,7.2,0.2861,1,41
food_beverage,enterprise,stable,85693.6,61,27,11,0.782,3,7.6,0.0183,0,42
textile,small_business,currency_shock,26370.1,81,6,1,0.778,5,0.7,0.2209,0,0
construction,mid_market,stable,88930.37,135,70,35,0.925,1,1.4,0.1283,0,0
services,mid_market,stable,5675.0,71,89,34,0.895,4,15.5,0.0517,0,0
logistics,mid_market,stable,44481.25,63,48,26,0.72,3,0.2,0.0639,0,0
textile,enterprise,stable,11138.48,70,20,13,0.848,2,0.4,0.024,0,0
retail,small_business,stable,34373.88,24,45,27,0.782,6,0.7,0.0681,0,0
construction,mid_market,stable,470630.16,97,137,44,0.85,6,9.2,0.1428,0,0
electronics,mid_market,high_inflation,76088.83,46,81,35,0.766,5,7.2,0.0769,0,0
textile,mid_market,high_inflation,202153.12,81,10,7,0.682,1,1.8,0.0926,0,0
food_beverage,mid_market,high_inflation,62765.02,78,23,11,0.917,2,4.3,0.0558,0,0
electronics,small_business,currency_shock,115404.33,48,33,9,0.921,2,2.0,0.1612,0,1
electronics,small_business,currency_shock,60405.33,71,26,14,0.909,3,2.0,0.1821,1,11
retail,mid_market,high_inflation,69946.4,27,14,8,0.595,3,7.0,0.063,0,0
textile,enterprise,stable,18661.52,73,113,44,0.597,1,0.3,0.0269,0,6
food_beverage,mid_market,currency_shock,52769.56,70,132,35,0.934,3,17.9,0.0957,0,0
textile,mid_market,stable,98347.06,81,39,20,0.766,1,3.1,0.0664,0,23
agriculture,small_business,stable,343467.81,69,37,10,0.634,2,2.0,0.1762,0,0
construction,small_business,currency_shock,32974.15,130,28,14,0.415,4,3.7,0.5961,1,80
electronics,small_business,high_inflation,113769.44,56,36,13,0.64,2,1.1,0.1428,0,0
electronics,mid_market,stable,21820.73,64,102,57,0.762,3,0.9,0.0502,1,46
automotive,small_business,currency_shock,60707.51,67,9,8,0.879,3,0.8,0.149,0,0
retail,small_business,high_inflation,146993.26,21,30,10,0.95,3,5.1,0.0998,0,0
construction,mid_market,stable,151987.09,93,133,59,0.729,2,3.0,0.124,0,0
automotive,mid_market,currency_shock,39883.28,56,6,4,0.796,4,10.3,0.0957,0,0
automotive,enterprise,stable,47984.75,68,17,10,0.835,4,8.9,0.023,0,0
agriculture,small_business,currency_shock,60387.64,110,34,16,0.909,5,3.6,0.3555,1,31
automotive,small_business,currency_shock,249443.29,87,33,18,0.924,1,17.8,0.2489,0,0
construction,small_business,stable,53673.99,90,6,0,0.887,4,4.8,0.2419,1,29
automotive,small_business,stable,31602.04,61,24,11,0.777,3,5.1,0.0956,1,23
textile,small_business,high_inflation,36483.53,72,29,13,0.92,5,0.1,0.1519,0,0
electronics,small_business,high_inflation,52270.43,45,7,0,0.8,0,0.7,0.1245,0,0
logistics,small_business,currency_shock,24080.31,80,53,23,0.619,5,4.6,0.2971,0,0
food_beverage,mid_market,stable,16969.2,51,6,3,0.824,3,5.8,0.0379,0,0
textile,small_business,currency_shock,30332.52,87,6,2,0.597,2,11.0,0.3253,0,0
services,mid_market,currency_shock,9012.49,15,19,10,0.857,2,2.9,0.0502,0,0
food_beverage,micro,currency_shock,164564.13,99,46,18,0.88,5,7.8,0.2642,1,81
construction,small_business,currency_shock,42741.28,96,190,50,0.49,4,10.0,0.6022,0,0
retail,small_business,high_inflation,176731.45,25,107,49,0.833,3,1.8,0.0973,0,0
construction,mid_market,currency_shock,139865.64,130,16,8,0.715,1,2.6,0.2574,1,29
textile,small_business,currency_shock,6105.98,94,6,3,0.888,5,3.2,0.2416,1,56
services,small_business,stable,19146.2,36,105,50,0.783,5,0.8,0.0611,0,0
automotive,mid_market,stable,27542.97,78,66,30,0.782,2,1.4,0.0464,0,0
textile,mid_market,stable,29032.09,107,74,46,0.713,5,0.9,0.0709,0,0
services,small_business,currency_shock,15353.12,51,6,2,0.854,2,2.3,0.1216,1,75
food_beverage,small_business,currency_shock,97190.46,37,30,20,0.694,4,6.2,0.135,0,0
construction,mid_market,stable,51277.69,99,14,4,0.912,2,3.1,0.1183,0,0
logistics,mid_market,high_inflation,55984.63,75,179,40,0.791,0,1.7,0.0966,0,0
food_beverage,mid_market,stable,145442.5,32,175,58,0.803,2,1.3,0.0301,0,0
retail,mid_market,stable,88503.72,31,6,2,0.927,3,5.6,0.0388,0,0
services,mid_market,stable,70479.1,42,6,1,0.944,2,8.2,0.0366,0,0
food_beverage,enterprise,stable,60066.93,31,6,6,0.801,2,4.9,0.0143,0,12
agriculture,micro,currency_shock,70617.15,98,67,27,0.735,3,0.1,0.4888,1,29
services,mid_market,high_inflation,11818.24,16,90,50,0.754,1,2.5,0.0406,0,0
textile,small_business,stable,28703.15,118,120,66,0.868,3,12.5,0.191,1,41
construction,enterprise,stable,116971.8,124,15,14,0.933,2,0.4,0.0509,0,0
food_beverage,small_business,currency_shock,73130.08,84,70,38,0.951,0,0.7,0.1299,0,4
automotive,enterprise,currency_shock,69676.4,60,17,4,0.658,4,2.3,0.0355,0,0
services,small_business,stable,81540.12,64,6,4,0.969,2,3.6,0.0713,0,0
retail,small_business,high_inflation,117269.31,46,56,24,0.933,6,7.7,0.1247,0,0
textile,small_business,stable,9231.15,82,58,35,0.89,3,10.0,0.1533,0,0
construction,small_business,high_inflation,23996.64,135,47,24,0.783,3,6.6,0.4451,1,13
retail,mid_market,stable,14354.56,54,6,5,0.92,3,3.7,0.0417,0,0
textile,mid_market,high_inflation,24172.4,124,20,9,0.948,3,0.4,0.0944,0,0
textile,small_business,high_inflation,11736.52,106,6,5,0.963,1,14.5,0.2558,0,0
construction,small_business,high_inflation,18938.98,153,6,4,0.745,1,2.8,0.4321,1,72
services,mid_market,stable,310273.43,20,6,4,0.776,2,0.3,0.0274,0,0
electronics,small_business,stable,84936.03,69,129,51,0.819,1,12.7,0.1387,0,0
construction,mid_market,currency_shock,165654.78,132,29,16,0.549,2,1.7,0.2691,0,2
automotive,enterprise,stable,28497.31,103,51,22,0.934,2,1.9,0.021,0,0
automotive,mid_market,stable,83287.41,85,17,11,0.746,3,5.6,0.055,0,0
construction,enterprise,stable,55454.35,154,8,1,0.92,3,2.5,0.061,0,25
electronics,small_business,stable,214458.35,15,57,32,0.593,2,0.6,0.0808,0,9
construction,mid_market,currency_shock,51126.68,91,26,6,0.82,0,6.4,0.2355,0,0
retail,small_business,stable,163753.28,17,28,19,0.886,1,10.5,0.0824,0,0
services,enterprise,high_inflation,39602.82,16,78,40,0.916,5,1.2,0.0156,0,0
textile,small_business,high_inflation,21859.89,91,69,36,0.792,4,11.1,0.2387,0,0
retail,small_business,high_inflation,60457.7,48,48,18,0.622,2,11.9,0.1593,0,0
logistics,mid_market,currency_shock,165905.14,56,15,8,0.616,3,6.0,0.1378,0,0
textile,mid_market,stable,33999.43,99,39,17,0.708,4,0.5,0.0678,0,0
retail,small_business,currency_shock,44043.34,19,6,0,0.92,2,7.2,0.1361,0,0
textile,small_business,high_inflation,448425.34,110,95,49,0.925,5,27.2,0.3399,0,0
retail,small_business,high_inflation,45580.82,16,53,29,0.897,1,5.1,0.0987,0,9
food_beverage,small_business,currency_shock,87150.07,86,57,42,0.663,4,0.3,0.1458,1,34
textile,small_business,currency_shock,70624.81,105,11,7,0.739,2,0.3,0.2459,0,0
agriculture,micro,stable,23554.86,86,11,3,0.836,4,1.8,0.2615,1,16
construction,mid_market,high_inflation,32294.59,126,20,14,0.905,3,0.8,0.1718,0,0
automotive,enterprise,stable,134178.91,64,6,5,0.691,4,6.8,0.0226,0,0
retail,mid_market,currency_shock,7523.16,15,29,18,0.942,3,5.4,0.0625,0,0
construction,mid_market,stable,79712.73,111,16,9,0.726,2,1.5,0.1279,1,102
retail,small_business,high_inflation,41940.96,15,20,5,0.85,3,3.3,0.0952,0,0
services,small_business,stable,32095.66,37,6,2,0.836,1,4.0,0.0664,0,0
textile,enterprise,stable,26191.33,96,44,19,0.912,2,5.7,0.0308,0,0
food_beverage,enterprise,stable,54604.65,85,71,30,0.826,6,1.7,0.0169,0,10
logistics,small_business,currency_shock,14806.9,19,6,2,0.918,1,4.5,0.1894,1,164
food_beverage,small_business,stable,480797.42,52,66,38,0.511,4,1.1,0.0748,0,0
food_beverage,small_business,stable,63085.46,94,16,8,0.727,4,0.1,0.0812,0,0
textile,small_business,stable,259895.12,102,6,2,0.941,5,0.3,0.1235,1,62
food_beverage,mid_market,high_inflation,83670.35,29,21,10,0.913,1,3.3,0.042,0,3
retail,small_business,stable,6268.45,22,129,54,0.875,4,2.7,0.069,0,0
services,small_business,stable,107588.69,15,24,13,0.83,2,2.5,0.0557,0,14
textile,mid_market,stable,58012.41,110,12,13,0.801,5,9.3,0.088,0,0
construction,small_business,stable,44183.0,128,62,28,0.914,0,4.6,0.2771,0,0
textile,micro,stable,11819.95,101,17,7,0.8,2,0.1,0.1951,0,0
textile,mid_market,currency_shock,42052.04,104,6,0,0.466,0,7.7,0.1692,0,7
food_beverage,micro,high_inflation,139623.49,39,15,8,0.907,1,7.0,0.1488,1,40
food_beverage,mid_market,stable,12567.01,62,40,24,0.832,2,0.2,0.0337,0,0
construction,small_business,stable,16277.86,104,25,9,0.738,2,5.6,0.2792,1,13
services,mid_market,currency_shock,130907.89,66,96,43,0.471,6,7.6,0.0887,1,86
textile,small_business,currency_shock,17196.34,76,69,30,0.676,4,7.3,0.2735,1,63
construction,small_business,high_inflation,66978.44,100,90,42,0.743,1,0.1,0.3251,0,0
automotive,mid_market,stable,62381.35,76,6,4,0.908,2,1.7,0.044,0,0
agriculture,small_business,high_inflation,73451.59,92,16,1,0.942,0,6.5,0.275,0,0
automotive,mid_market,stable,63233.56,87,6,3,0.842,4,4.0,0.0509,0,0
food_beverage,mid_market,stable,24575.19,54,9,8,0.949,2,4.3,0.035,0,0
retail,small_business,stable,111249.82,58,9,1,0.957,2,3.3,0.0827,0,0
textile,enterprise,stable,179609.43,135,12,5,0.967,4,1.1,0.0305,0,0
food_beverage,micro,stable,32480.71,56,69,38,0.526,3,4.4,0.1262,0,0
textile,mid_market,high_inflation,81144.35,70,292,49,0.796,4,8.4,0.1013,0,0
services,mid_market,stable,241837.26,66,24,10,0.8,1,4.5,0.0398,0,0
food_beverage,small_business,high_inflation,56179.61,44,114,48,0.826,3,8.8,0.1108,1,39
electronics,small_business,high_inflation,60780.84,58,6,4,0.865,1,20.2,0.2124,1,85
construction,enterprise,stable,465817.13,94,6,3,0.857,6,15.8,0.0704,0,0
construction,small_business,high_inflation,185198.33,148,35,14,0.945,2,2.5,0.3865,0,0
food_beverage,small_business,stable,38902.6,45,6,5,0.557,3,0.9,0.0706,0,5
construction,mid_market,currency_shock,94469.92,126,7,2,0.688,2,2.0,0.2518,1,14
services,small_business,high_inflation,225254.09,15,12,5,0.737,5,2.5,0.0812,0,0
construction,small_business,stable,33112.28,108,41,26,0.905,3,5.6,0.265,0,1
services,small_business,currency_shock,15108.97,57,31,14,0.897,3,0.1,0.1148,0,0
automotive,mid_market,high_inflation,65506.29,102,63,33,0.889,2,3.4,0.0733,0,0
textile,small_business,currency_shock,8737.28,87,6,5,0.699,6,1.6,0.2408,1,22
construction,small_business,high_inflation,159811.43,158,6,1,0.838,1,5.2,0.4538,0,0
services,enterprise,stable,17855.38,27,39,22,0.802,3,0.7,0.0123,0,0
logistics,mid_market,high_inflation,32849.4,29,25,10,0.941,3,1.9,0.0715,0,0
retail,mid_market,stable,35861.85,15,73,46,0.941,2,1.9,0.0313,0,0
construction,small_business,currency_shock,13729.8,108,56,39,0.578,1,8.1,0.5828,0,24
construction,small_business,high_inflation,49499.16,136,6,5,0.822,3,1.0,0.3728,0,0
electronics,mid_market,currency_shock,357599.11,70,6,6,0.853,3,7.5,0.1086,0,0
automotive,micro,stable,60235.98,47,35,17,0.889,1,5.4,0.1287,0,0
food_beverage,small_business,stable,50354.74,69,26,12,0.984,4,1.1,0.0673,0,0
services,small_business,high_inflation,57501.72,32,126,48,0.929,2,25.9,0.1426,0,1
textile,mid_market,currency_shock,9522.37,76,54,27,0.624,6,6.1,0.1351,0,4
construction,small_business,stable,47834.06,98,12,3,0.643,2,15.3,0.3605,1,25
construction,mid_market,stable,35189.41,112,48,17,0.782,2,9.8,0.1585,0,0
textile,small_business,high_inflation,29301.55,77,16,7,0.652,1,2.4,0.1871,0,2
services,micro,stable,204961.93,41,7,4,0.928,5,2.0,0.0922,0,0
food_beverage,enterprise,high_inflation,83810.73,51,6,1,0.755,3,8.1,0.0249,0,17
food_beverage,small_business,stable,309060.32,37,6,3,0.914,0,3.3,0.0629,0,0
services,mid_market,currency_shock,36664.29,43,37,25,0.833,3,15.2,0.0822,0,0
agriculture,enterprise,stable,30577.81,59,65,42,0.818,5,2.8,0.0342,0,0
retail,micro,high_inflation,88425.88,45,89,42,0.901,2,6.9,0.1847,0,2
retail,mid_market,stable,414151.54,28,30,21,0.881,1,0.2,0.0329,0,8
retail,small_business,stable,8327.14,43,63,33,0.91,4,10.2,0.0943,1,77
agriculture,mid_market,stable,20955.88,100,36,20,0.783,7,0.3,0.0902,0,2
automotive,small_business,high_inflation,37667.31,67,46,31,0.666,4,1.1,0.1279,0,0
food_beverage,small_business,stable,15450.23,68,20,10,0.703,1,4.0,0.0825,0,0
textile,micro,high_inflation,26883.77,62,31,15,0.894,2,4.3,0.2505,1,11
textile,small_business,stable,98386.56,88,89,40,0.494,2,2.3,0.1487,1,75
services,micro,currency_shock,10238.9,61,16,8,0.761,4,0.1,0.1858,0,0
electronics,enterprise,high_inflation,553851.49,62,6,7,0.774,3,4.8,0.0334,0,0
food_beverage,enterprise,currency_shock,169415.81,52,10,3,0.632,1,12.2,0.0375,0,0
textile,micro,high_inflation,38301.68,93,21,17,0.726,3,2.4,0.2933,1,26
services,small_business,high_inflation,114379.31,28,77,37,0.697,3,0.3,0.0832,0,0
textile,mid_market,stable,20845.46,92,103,42,0.549,1,5.9,0.0824,0,3
services,mid_market,high_inflation,23179.62,35,41,20,0.913,4,0.3,0.0396,0,0
construction,mid_market,currency_shock,47194.19,100,6,3,0.724,4,6.2,0.2529,0,0
logistics,mid_market,stable,40444.97,35,30,16,0.796,5,4.8,0.0614,0,0
automotive,mid_market,stable,65506.58,42,15,5,0.97,1,17.0,0.0534,0,0
electronics,micro,stable,53174.07,60,6,5,0.99,5,5.9,0.1557,0,0
electronics,mid_market,high_inflation,124150.75,52,20,9,0.695,2,3.5,0.0737,0,8
automotive,mid_market,currency_shock,220325.86,96,7,5,0.714,6,1.9,0.0944,0,0
construction,small_business,stable,35757.89,117,20,8,0.862,4,5.7,0.2804,0,0
textile,small_business,stable,16928.49,120,11,4,0.901,2,1.4,0.14,0,0
logistics,mid_market,stable,14296.9,50,148,57,0.927,5,0.3,0.055,0,4
construction,small_business,high_inflation,18359.22,138,16,12,0.658,2,1.3,0.405,0,0
construction,small_business,stable,60541.69,115,6,4,0.766,5,5.1,0.2846,1,35
construction,small_business,stable,67031.85,139,8,1,0.99,4,0.6,0.2465,1,23
textile,mid_market,stable,463367.9,92,86,47,0.758,4,6.0,0.0761,0,0
services,micro,stable,11011.89,39,50,18,0.88,4,2.8,0.0953,0,0
electronics,mid_market,high_inflation,124438.93,52,21,12,0.8,1,4.6,0.0728,0,0
food_beverage,mid_market,stable,14100.09,79,13,6,0.788,4,7.1,0.0457,0,1
construction,enterprise,high_inflation,103595.92,121,82,38,0.685,3,0.7,0.0789,0,0
agriculture,micro,high_inflation,228307.82,96,46,27,0.912,2,4.3,0.3997,1,66
textile,mid_market,stable,112670.3,98,33,23,0.859,4,20.7,0.1055,0,0
food_beverage,small_business,stable,29599.05,55,108,39,0.767,2,0.5,0.0675,0,4
retail,enterprise,stable,45411.22,15,6,3,0.618,2,3.0,0.0159,0,0
retail,micro,stable,77396.3,51,187,44,0.862,3,7.2,0.1395,0,0
textile,small_business,high_inflation,53942.14,87,14,6,0.785,3,0.1,0.1724,0,0
retail,micro,stable,35051.92,47,161,62,0.825,2,2.1,0.1198,0,0
food_beverage,mid_market,currency_shock,35273.95,48,6,1,0.86,3,2.2,0.0596,0,3
automotive,micro,stable,116122.75,69,76,40,0.712,1,0.1,0.1314,0,1
logistics,mid_market,high_inflation,207495.06,73,7,0,0.918,0,2.7,0.0936,0,0
logistics,mid_market,currency_shock,597993.49,17,12,8,0.98,6,3.1,0.0873,0,0
food_beverage,micro,high_inflation,5000.0,74,6,1,0.777,3,2.7,0.1663,0,33
logistics,mid_market,high_inflation,35898.84,54,13,7,0.538,2,2.6,0.0991,0,16
services,mid_market,stable,22709.88,24,8,3,0.682,6,0.5,0.0293,0,0
retail,mid_market,currency_shock,24633.47,20,146,34,0.648,1,0.8,0.0633,1,47
services,small_business,currency_shock,143756.91,30,29,14,0.594,2,10.3,0.1499,0,26
automotive,enterprise,high_inflation,50075.07,90,81,40,0.511,3,0.5,0.0317,0,0
textile,small_business,stable,456121.12,60,74,32,0.814,3,0.9,0.11,0,0
textile,small_business,currency_shock,74803.67,90,144,51,0.924,4,1.4,0.2207,0,0
food_beverage,enterprise,stable,43212.93,65,8,2,0.978,3,1.4,0.0143,0,0
construction,small_business,stable,235634.2,111,19,9,0.941,5,6.1,0.2671,0,0
construction,small_business,stable,51823.03,149,17,6,0.903,3,10.4,0.3508,0,5
automotive,small_business,currency_shock,179822.31,121,6,1,0.724,2,1.5,0.205,0,0
services,enterprise,stable,57620.22,19,6,4,0.901,2,8.1,0.0139,0,0
textile,enterprise,high_inflation,184744.72,102,133,54,0.895,4,14.8,0.0559,0,0
food_beverage,enterprise,stable,37065.07,40,20,6,0.808,2,4.9,0.015,0,0
retail,mid_market,high_inflation,55488.08,47,9,7,0.864,3,3.1,0.0567,0,0
textile,mid_market,high_inflation,265118.01,112,86,37,0.789,2,1.8,0.101,0,0
services,enterprise,high_inflation,335356.95,50,14,10,0.758,5,6.4,0.0237,0,0
food_beverage,mid_market,high_inflation,16166.66,18,22,10,0.637,4,5.2,0.0466,1,53
automotive,small_business,stable,43205.26,86,30,7,0.623,2,3.1,0.1079,0,8
electronics,small_business,stable,40517.85,53,187,52,0.848,6,3.1,0.0983,0,0
food_beverage,small_business,stable,49780.57,34,85,46,0.8,2,1.4,0.0612,0,0
automotive,small_business,stable,19415.11,77,25,15,0.664,4,11.0,0.1263,0,0
automotive,micro,stable,137857.92,67,24,8,0.875,2,1.5,0.1274,0,23
retail,mid_market,high_inflation,61140.49,32,102,50,0.694,2,6.4,0.0615,1,50
automotive,micro,stable,53796.86,60,88,40,0.943,4,8.3,0.1454,1,44
textile,micro,high_inflation,152001.53,100,50,34,0.922,2,1.1,0.2664,0,0
food_beverage,mid_market,high_inflation,8598.38,76,25,8,0.699,0,0.4,0.0537,0,0
services,small_business,high_inflation,75500.72,39,34,12,0.907,1,9.0,0.1046,0,0
automotive,micro,currency_shock,117932.28,51,105,49,0.896,1,4.1,0.2269,0,4
food_beverage,small_business,high_inflation,18591.0,88,6,4,0.708,4,0.4,0.1129,0,9
services,mid_market,stable,145936.28,33,136,55,0.517,3,2.4,0.0351,0,0
construction,enterprise,stable,57780.22,135,36,19,0.656,5,0.2,0.0591,0,0
construction,mid_market,high_inflation,26060.59,126,25,12,0.743,3,5.5,0.2121,0,0
food_beverage,micro,high_inflation,43818.26,43,67,39,0.74,3,10.0,0.1765,0,2
food_beverage,mid_market,stable,31140.77,45,40,19,0.813,2,2.1,0.0331,0,0
textile,small_business,high_inflation,72917.55,57,35,19,0.695,3,7.8,0.1951,0,0
retail,small_business,high_inflation,12854.04,57,79,35,0.586,5,1.3,0.1265,0,0
agriculture,mid_market,stable,9409.6,83,16,7,0.75,3,1.4,0.0879,0,0
electronics,small_business,stable,8345.91,46,39,17,0.692,1,0.9,0.0941,0,0
agriculture,micro,stable,33459.63,105,6,3,0.935,1,3.3,0.2845,0,0
logistics,small_business,currency_shock,76784.08,52,38,24,0.841,2,3.7,0.231,1,15
construction,mid_market,stable,99401.49,136,26,11,0.76,6,8.3,0.1686,0,9
food_beverage,micro,stable,123812.93,60,112,42,0.696,1,0.4,0.1067,0,4
food_beverage,small_business,stable,54893.18,62,6,4,0.627,3,4.8,0.0845,0,0
food_beverage,mid_market,stable,21149.99,77,69,29,0.859,2,3.1,0.0392,0,0
food_beverage,mid_market,currency_shock,20987.44,24,12,3,0.803,2,1.7,0.0524,0,0
services,small_business,stable,69700.43,15,45,25,0.556,3,7.3,0.0713,0,0
retail,small_business,high_inflation,53882.07,18,69,27,0.6,6,2.6,0.1048,0,0
construction,enterprise,currency_shock,230487.75,95,30,11,0.884,3,1.1,0.0852,0,0
retail,small_business,stable,15423.66,15,8,2,0.826,4,1.0,0.064,0,0
food_beverage,mid_market,high_inflation,23506.93,44,78,35,0.869,7,0.2,0.0423,0,0
textile,small_business,stable,314301.45,123,28,18,0.736,3,1.1,0.1507,0,0
automotive,micro,stable,13364.06,54,77,39,0.788,2,2.3,0.1269,0,0
textile,small_business,stable,16349.73,128,39,23,0.918,0,5.3,0.1612,0,0
